Name,Branch
Barkhad Abdi,Actor
Clancy Brown,Actor
Paul Dano,Actor
Michael Fassbender,Actor
Ben Foster,Actor
Beth Grant,Actor
Clark Gregg,Actor
Sally Hawkins,Actor
Josh Hutcherson,Actor
Julia Louis-Dreyfus,Actor
Kelly Macdonald,Actor
Mads Mikkelsen,Actor
Joel McKinnon Miller,Actor
Cillian Murphy,Actor
Lupita Nyong'o,Actor
Rob Riggle,Actor
Chris Rock,Actor
June Squibb,Actor
Jason Statham,Actor
David Strathairn,Actor
Douglas Aibel,Casting directors
Simone Bar,Casting directors
Kerry Barden,Casting directors
Nikki Barrett,Casting directors
Mark Bennett,Casting directors
Risa Bramon Garcia,Casting directors
Michelle Guish,Casting directors
Billy Hopkins,Casting directors
Ros Hubbard,Casting directors
Allison Jones,Casting directors
Christine King,Casting directors
Beatrice Kruger,Casting directors
Marci Liroff,Casting directors
Debbie McWilliams,Casting directors
Joseph Middleton,Casting directors
Robi Reed,Casting directors
Kevin Reher,Casting directors
Paul Schnee,Casting directors
Gail Stevens,Casting directors
Lucinda Syson,Casting directors
Fiona Weir,Casting directors
Ronnie Yeskel,Casting directors
Sean Bobbitt,Cinematographers
Philippe Le Sourd,Cinematographers
James Neihouse,Cinematographers
Masanobu Takayanagi,Cinematographers
Bradford Young,Cinematographers
William Chang Suk Ping,Costume designers
Pascaline Chavanne,Costume designers
Daniela Ciancio,Costume designers
Frank L. Fleming,Costume designers
Maurizio Millenotti,Costume designers
Beatrix Aruna Pasztor,Costume designers
Karyn Wagner,Costume designers
William Arnold,Designers
K.K. Barrett,Designers
Susan Benjamin,Designers
Bill Boes,Designers
Tony Fanning,Designers
Robert Greenfield,Designers
Marcia Hinds,Designers
Sonja Brisbane Klaus,Designers
David S. Lazan,Designers
Diane Lederman,Designers
Heather Loeffler,Designers
Christa Munro,Designers
Andy Nicholson,Designers
Adam Stockhausen,Designers
Hany Abu-Assad,Directors
Jay Duplass,Directors
Mark Duplass,Directors
David Gordon Green,Directors
Gavin O'Connor,Directors
Gina Prince-Bythewood,Directors
Paolo Sorrentino,Directors
Jean-Marc Vallee,Directors
Felix van Groeningen,Directors
Denis Villeneuve,Directors
Thomas Vinterberg,Directors
Malcolm Clarke,Documentary
Dan Cogan,Documentary
Kief Davidson,Documentary
Dan Geller,Documentary
Dayna Goldfine,Documentary
Julie Goldman,Documentary
Sam Green,Documentary
Gary Hustwit,Documentary
Eugene Jarecki,Documentary
Brian Johnson,Documentary
Ross Kauffman,Documentary
Morgan Neville,Documentary
Matthew J. O'Neill,Documentary
Rithy Panh,Documentary
Lucy Massie Phenix,Documentary
Enat Sidi,Documentary
Molly Thompson,Documentary
Cynthia Wade,Documentary
Adrian Alperovich,Executives
Sean Bailey,Executives
Len Blavatnik,Executives
Nicholas Carpou,Executives
Nancy Carson,Executives
Charles S. Cohen,Executives
Jason Constantine,Executives
Peter Cramer,Executives
William Kyle Davies,Executives
Christopher Floyd,Executives
David Garrett,Executives
David Hollis,Executives
Tomas Jegeus,Executives
Michelle Raimo Kouyate,Executives
Anthony James Marcoly,Executives
Hiroyasu Matsuoka,Executives
Kim Roth,Executives
John Sloss,Executives
Alan Baumgarten,Film editors
Alan Edward Bell,Film editors
Dorian Harris,Film editors
Sabrina Plisco,Film editors
Tatiana S. Riegel,Film editors
Julie Rogers,Film editors
Mark Sanger,Film editors
Joan Sobel,Film editors
Crispin Struthers,Film editors
Tracey Wadmore-Smith,Film editors
Joe Walker,Film editors
John Wilson,Film editors
Vivian Baker,Makeup Artists and Hairstylists
Adruitha Lee,Makeup Artists and Hairstylists
Robin Mathews,Makeup Artists and Hairstylists
Anne Morgan,Makeup Artists and Hairstylists
Gloria Pasqua-Casny,Makeup Artists and Hairstylists
Peter Becker,Members-At-Large
Jeff Dashnaw,Members-At-Large
Kenneth L. Halsband,Members-At-Large
Jody Levin,Members-At-Large
Tom MacDougall,Members-At-Large
"Chuck Picerni, Jr.",Members-At-Large
Spiro Razatos,Members-At-Large
Mic Rodgers,Members-At-Large
Kevin J. Yeaman,Members-At-Large
Kristen Anderson-Lopez,Music
Stanley Clarke,Music
Earl Ghaffari,Music
Steve Jablonsky,Music
Robert Lopez,Music
Steven Price,Music
Tony Renis,Music
Angie Rubin,Music
Buck Sanders,Music
Charles Strouse,Music
Eddie Vedder,Music
Pharrell Williams,Music
Jason Blumenthal,Producers
Dana Brunetti,Producers
Megan Ellison,Producers
Sean Furst,Producers
Nicola Giuliano,Producers
Preston Holmes,Producers
Lynette M. Howell,Producers
Anthony Katagas,Producers
Alix Madigan,Producers
Paul Mezey,Producers
Stephen Nemeth,Producers
Tracey Seaward,Producers
John H. Williams,Producers
Larry Angrisani,Public Relations
Nancy Bannister,Public Relations
Christine Batista,Public Relations
Karen Hermelin,Public Relations
Marisa McGrath Liston,Public Relations
David Magdael,Public Relations
Steven Raphael,Public Relations
Bettina R. Sherick,Public Relations
Dani Weinstein,Public Relations
Didier Brunner,Short Films and Feature Animation
Scott Clark,Short Films and Feature Animation
Pierre Coffin,Short Films and Feature Animation
Esteban Crespo,Short Films and Feature Animation
Peter Del Vecho,Short Films and Feature Animation
Kirk DeMicco,Short Films and Feature Animation
Doug Frankel,Short Films and Feature Animation
Mark Gill,Short Films and Feature Animation
David A. S. James,Short Films and Feature Animation
Fabrice Joubert,Short Films and Feature Animation
Jean-Claude Kalache,Short Films and Feature Animation
Jason Katz,Short Films and Feature Animation
Jennifer Lee,Short Films and Feature Animation
Baldwin Li,Short Films and Feature Animation
Nathan Loofbourrow,Short Films and Feature Animation
Lauren MacMullan,Short Films and Feature Animation
Tom McGrath,Short Films and Feature Animation
Dorothy McKim,Short Films and Feature Animation
Hayao Miyazaki,Short Films and Feature Animation
Ricky Nierva,Short Films and Feature Animation
Chris Renaud,Short Films and Feature Animation
Benjamin Renner,Short Films and Feature Animation
Michael Rose,Short Films and Feature Animation
Toshio Suzuki,Short Films and Feature Animation
Selma Vilhunen,Short Films and Feature Animation
Anders Walte,Short Films and Feature Animation
Laurent Witz,Short Films and Feature Animation
Niv Adiri,Sound
Christopher Benstead,Sound
Steve Boeddeker,Sound
Beau Borders,Sound
David Brownlow,Sound
Chris Burdon,Sound
Brent Burge,Sound
Andre Fenley,Sound
Glenn Freemantle,Sound
Greg Hedgepath,Sound
Craig Henighan,Sound
Tony Johnson,Sound
Laurent M. Kossayan,Sound
Thomas L. Lalley,Sound
Ai-Ling Lee,Sound
Stephen Morris,Sound
Jeremy Peirson,Sound
Mike Prestwood Smith,Sound
Alan Rankin,Sound
Oliver Tarney,Sound
Chris Ward,Sound
Gary Brozenich,Visual Effects
Everett Burrell ,Visual Effects
Marc Chu,Visual Effects
David Fletcher,Visual Effects
Swen Gillberg,Visual Effects
Paul Graff,Visual Effects
Alex Henning,Visual Effects
Evan Jacobs,Visual Effects
Chris Lawrence,Visual Effects
Eric Leven,Visual Effects
Steven Messing,Visual Effects
Ben Matthew Morris,Visual Effects
Jake Morrison,Visual Effects
Eric Reynolds,Visual Effects
David Shirk,Visual Effects
Patrick Tubach,Visual Effects
Bruno Van Zeebroeck,Visual Effects
Tim Webber,Visual Effects
Harold Weed,Visual Effects
Chantal Akerman,Writers
Olivier Assayas,Writers
Craig Borten,Writers
Scott Z. Burns,Writers
Jean-Claude Carriere,Writers
Steve Coogan,Writers
Claire Denis,Writers
Larry Gross,Writers
Mathieu Kassovitz,Writers
Diane Kurys,Writers
Bob Nelson,Writers
Scott Neustadter,Writers
Jeff Pope,Writers
John Ridley,Writers
Paul Rudnick,Writers
Eric Warren Singer,Writers
Melisa Wallack,Writers
Michael H. Weber,Writers
Terence Winter,Writers
Matt DelPiano,Associates
Joe Funicello,Associates
Robert Hohman,Associates
Paul Christopher Hook,Associates
David Kramer,Associates
Joel Lubin,Associates
David Pringle,Associates
Melanie Ramsayer,Associates
Beth Swofford,Associates
Meredith Wechter,Associates